06.19 20:23:09.813 | 信息 - 任务=1，信息=结束运行
06.19 20:23:45.851 | 信息 - 正常退出
06.19 20:42:48.587 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 20:42:48.587 | 信息 - 任务=1，信息=开始编译
06.19 20:42:48.588 | 信息 - 任务=1，信息=结束编译
06.19 20:42:48.588 | 信息 - 任务=1，信息=开始运行
06.19 20:42:48.597 | 信息 - 任务=1，信息=结束运行
06.19 20:44:48.802 | 信息 - 正常退出
06.19 20:44:50.819 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 20:44:50.819 | 信息 - 任务=1，信息=开始编译
06.19 20:44:50.820 | 信息 - 任务=1，信息=结束编译
06.19 20:44:50.820 | 信息 - 任务=1，信息=开始运行
06.19 20:44:50.828 | 信息 - 任务=1，信息=结束运行
06.19 20:58:42.231 | 信息 - 正常退出
06.19 21:00:23.029 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:00:23.029 | 信息 - 任务=1，信息=开始编译
06.19 21:00:23.029 | 信息 - 任务=1，信息=结束编译
06.19 21:00:23.029 | 信息 - 任务=1，信息=开始运行
06.19 21:00:23.029 | 信息 - 任务=1，信息=结束运行
06.19 21:00:29.222 | 信息 - 正常退出
06.19 21:00:30.174 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:00:30.174 | 信息 - 任务=1，信息=开始编译
06.19 21:00:30.174 | 信息 - 任务=1，信息=结束编译
06.19 21:00:30.174 | 信息 - 任务=1，信息=开始运行
06.19 21:00:30.190 | 信息 - 任务=1，信息=结束运行
06.19 21:52:17.405 | 信息 - 正常退出
06.19 21:52:20.294 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:52:20.294 | 信息 - 任务=1，信息=开始编译
06.19 21:52:20.294 | 信息 - 任务=1，信息=结束编译
06.19 21:52:20.294 | 信息 - 任务=1，信息=开始运行
06.19 21:52:20.310 | 信息 - 任务=1，信息=结束运行
06.19 21:52:26.784 | 信息 - 正常退出
06.19 21:52:33.173 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:52:33.173 | 信息 - 任务=1，信息=开始编译
06.19 21:52:33.173 | 信息 - 任务=1，信息=结束编译
06.19 21:52:33.173 | 信息 - 任务=1，信息=开始运行
06.19 21:52:33.189 | 信息 - 任务=1，信息=结束运行
06.19 21:52:45.981 | 信息 - 正常退出
06.19 21:52:47.808 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:52:47.808 | 信息 - 任务=1，信息=开始编译
06.19 21:52:47.808 | 信息 - 任务=1，信息=结束编译
06.19 21:52:47.808 | 信息 - 任务=1，信息=开始运行
06.19 21:52:47.823 | 信息 - 任务=1，信息=结束运行
06.19 21:52:58.853 | 信息 - 正常退出
06.19 21:53:04.787 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 21:53:04.787 | 信息 - 任务=1，信息=开始编译
06.19 21:53:04.787 | 信息 - 任务=1，信息=结束编译
